Element Label,S11,S22,S33,S12,S13,S23,Mises
452,14078.8,14849.3,20663.967,3902.246,7818.7065,3873.46,17691.08203125
453,-14512.677,-15867.261,-11162.997,1721.9598,8111.756,-7665.9336,20004.736328125
454,-37628.047,-45642.344,-37279.266,-7353.3765,3475.6462,-1781.0594,16586.71484375
455,-13710.105,7781.0737,5906.279,154.27458,-2315.4463,3529.1472,21877.248046875
456,19969.316,15127.3,49364.62,10721.9375,-1778.2136,742.28174,37227.41796875
457,43879.656,22337.984,17696.227,-1256.4882,-1068.6401,-3209.0234,24992.73046875
458,-56850.117,-100380.57,-65451.523,534.74744,1838.6522,969.61194,40103.38671875
459,9851.073,-8765.406,5929.791,5438.806,2593.719,1288.5262,20071.2265625
460,-10878.023,-51174.535,-19952.447,608.4536,-2625.6235,-13.295981,36909.06640625
461,-12533.102,5281.0303,26853.467,-8689.567,-325.96194,-3877.9421,37933.72265625
462,-15001.095,-19133.086,-2128.1504,-9125.266,-6447.7817,-2356.7534,25043.419921875
463,-34000.273,-2119.5312,7.7333984,8761.889,6783.988,-1609.102,38273.66015625
464,-38313.36,-30907.762,-55558.2,-5189.2656,-326.31937,1909.6989,23916.1328125
465,-4828.061,7246.979,-2757.5828,-3498.57,-344.27536,6008.9644,16446.607421875
466,-16547.967,-16065.92,262.2627,-5841.6465,9401.408,-5706.7686,27201.994140625
467,-4065.365,-4714.996,-5873.1997,4705.2495,-2593.2734,-2839.46,10644.095703125
468,43820.926,57593.348,26914.45,-5619.26,-3452.8335,-8337.8545,32363.64453125
469,30364.873,-459.8496,37901.6,8758.213,853.5232,-2884.041,38685.15234375
470,-2341.731,5747.039,10315.529,-7651.6646,-5650.4185,2477.6963,20324.74609375
471,-9209.074,2137.749,-9002.5205,1077.5266,979.1848,-2965.3862,12617.03125
472,10123.9375,21309.268,13887.567,-2597.366,-393.02127,3674.5085,12585.20703125
473,55169.09,78304.05,99556.61,4602.715,-4003.2852,-1870.5631,40008.81640625
474,51749.9,53051.15,64549.164,-14875.921,-6107.237,-13653.453,38521.2109375
475,-699.31934,-8537.704,-24548.98,5252.2607,-540.25757,-6479.02,25551.345703125
476,-12468.469,-29535.078,-3249.872,11162.246,6227.552,-5814.6914,33543.23046875
477,10223.508,-7331.4814,2603.6572,-47.973434,-3217.4548,11074.85,25129.52734375
478,-39218.5,-12040.1,-46561.453,-8038.7783,6965.139,-920.3943,36525.34375
479,-12229.58,-1093.0427,23205.844,7687.265,-3304.7795,-9984.82,38654.890625
